Variable,Description
iso_code,ISO 3166-1 alpha-3 â€“ three-letter country codes
continent,Continent of the geographical location
location,Geographical location
date,Date of observation
total_cases,Total confirmed cases of COVID-19
new_cases,New confirmed cases of COVID-19
new_cases_smoothed,New confirmed cases of COVID-19 (7-day smoothed)
total_deaths,Total deaths attributed to COVID-19
new_deaths,New deaths attributed to COVID-19
new_deaths_smoothed,New deaths attributed to COVID-19 (7-day smoothed)
total_cases_per_million,"Total confirmed cases of COVID-19 per 1,000,000 people"
new_cases_per_million,"New confirmed cases of COVID-19 per 1,000,000 people"
new_cases_smoothed_per_million,"New confirmed cases of COVID-19 (7-day smoothed) per 1,000,000 people"
total_deaths_per_million,"Total deaths attributed to COVID-19 per 1,000,000 people"
new_deaths_per_million,"New deaths attributed to COVID-19 per 1,000,000 people"
new_deaths_smoothed_per_million,"New deaths attributed to COVID-19 (7-day smoothed) per 1,000,000 people"
population_density,"Number of people divided by land area, measured in square kilometers"
median_age,"Median age of the population, UN projection for 2020"
aged_65_older,"Share of the population that is 65 years and older, most recent year available"
aged_70_older,Share of the population that is 70 years and older in 2015
gdp_per_capita,Gross domestic product at purchasing power parity (constant 2011 international dollars)
extreme_poverty,"Share of the population living in extreme poverty, most recent year available since 2010"
cardiovasc_death_rate,"Death rate from cardiovascular disease in 2017 (annual number of deaths per 100,000 people)"
diabetes_prevalence,Diabetes prevalence (% of population aged 20 to 79) in 2017
female_smokers,"Share of women who smoke, most recent year available"
male_smokers,"Share of men who smoke, most recent year available"
handwashing_facilities,Share of the population with basic handwashing facilities on premises
hospital_beds_per_thousand,"Hospital beds per 1,000 people, most recent year available since 2010"
life_expectancy,Life expectancy at birth in 2019
